t,vce,ic,p
6.6E-7,0.7856521739130434,0.2756969919295672,0.21660194105075126
6.800000000000001E-7,0.7574712643678161,0.3777925531914895,0.286167002934703
7.0E-7,0.7321839080459771,0.4916223404255315,0.3599579664954754
7.2E-7,0.7077333333333334,0.6093894542090657,0.43128522972556277
7.4E-7,0.6849122807017545,0.7371606749816582,0.5048903991453323
7.6E-7,0.663859649122807,0.8706781914893618,0.5780081187010079
7.8E-7,0.6404301075268817,1.01030585106383,0.6470302848318464
8.0E-7,0.6146236559139785,1.1593971631205673,0.7125929230534583
8.2E-7,0.5895833333333333,1.3444148936170213,0.7926446143617022
8.4E-7,0.5447500000000001,1.4632284921369103,0.7970937210915819
8.6E-7,0.46308333333333335,1.5092302878598247,0.6988993924697539
8.8E-7,0.3805999999999999,1.4498670212765956,0.5518193882978721
9.000000000000001E-7,0.2858333333333327,1.3630319148936165,0.3895999556737579
9.2E-7,0.19041666666666662,1.274167437557817,0.2426227162349676
9.4E-7,0.1238333333333333,1.2151942645698428,0.15048155642923217
9.600000000000001E-7,0.0678039215686271,1.1850384789497508,0.08035025608251407
9.8E-7,0.03366376811594216,1.1590086011770033,0.03901659679440513
1.0E-6,0.01433769696969701,1.1329787234042554,0.01624430560928438
1.02E-6,8.8E-5,1.1255319148936171,9.904680851063831E-5
1.04E-6,1.9633333333333333E-4,1.1180851063829786,2.195173758865248E-4
1.06E-6,2.7780000000000014E-4,1.1095744680851063,3.082397872340427E-4
1.08E-6,3.59266666666667E-4,1.1,3.951933333333337E-4
1.1E-6,4.4750000000000047E-4,1.0904255319148937,4.879654255319154E-4
1.12E-6,5.425000000000006E-4,1.0851063829787235,5.886702127659581E-4
1.14E-6,6.375000000000006E-4,1.0797872340425532,6.883643617021283E-4
1.1600000000000001E-6,7.325000000000005E-4,1.074468085106383,7.870478723404262E-4
1.18E-6,4.892857142857171E-4,1.0691489361702127,5.23119300911857E-4
1.2E-6,-9.21428571428552E-5,1.0644946808510638,-9.808558130698881E-5
1.22E-6,-6.735714285714275E-4,1.0605053191489362,-7.143260828267466E-4
1.24E-6,-0.0012549999999999998,1.0565159574468084,-0.0013259275265957444
1.26E-6,-0.001836428571428572,1.0525265957446808,-0.0019328899126139821
1.28E-6,-0.0024178571428571443,1.0493498817966902,-0.0025371781070584274
1.3E-6,-0.0029992857142857165,1.0469858156028369,-0.003140209599797368
1.32E-6,-0.0032359999999999993,1.0446217494089836,-0.00338039598108747
1.34E-6,-0.0031279999999999993,1.04225768321513,-0.0032601820330969257
1.3600000000000001E-6,-0.0030200000000000136,1.0398936170212767,-0.0031404787234042696
1.3800000000000001E-6,-0.004280952380952392,1.037898936170213,-0.004443195921985828
1.4E-6,-0.005541904761904758,1.0359042553191489,-0.005740882725430593
1.42E-6,-0.006802857142857137,1.033909574468085,-0.007033539133738596
1.44E-6,-0.008177777777777772,1.0319148936170213,-0.00843877068557919
1.46E-6,-0.009666666666666667,1.0307328605200945,-0.00996375098502758
1.48E-6,-0.011155555555555561,1.0295508274231677,-0.011485211452587343
1.5E-6,-0.012042666666666667,1.0283687943262412,-0.012384302600472814
1.52E-6,-0.012328,1.0271867612293144,-0.012663158392434988
1.54E-6,-0.012613333333333334,1.0260047281323876,-0.01294133963750985
1.56E-6,-0.012898666666666668,1.0248226950354609,-0.013218846335697398
1.5800000000000001E-6,-0.013184000000000001,1.0236406619385343,-0.013495678486997637
1.6E-6,-0.013469333333333331,1.0224586288416075,-0.013771836091410557
1.62E-6,-0.013754666666666665,1.0212765957446808,-0.014047319148936168
1.64E-6,-0.016149999999999998,1.019316909294513,-0.01646196808510638
1.66E-6,-0.016583333333333332,1.0173572228443448,-0.01687117394550205
1.68E-6,-0.017016666666666666,1.015397536394177,-0.017278681410974245
1.7E-6,-0.01745,1.0134378499440089,-0.017684490481522954
1.72E-6,-0.017883333333333334,1.011478163493841,-0.01808860115714819
1.74E-6,-0.01831666666666667,1.009518477043673,-0.018491013437849944
1.76E-6,-0.018750000000000003,1.007558790593505,-0.018891727323628222
1.7800000000000001E-6,-0.019183333333333337,1.005599104143337,-0.01929074281448302
1.8000000000000001E-6,-0.01961666666666667,1.0036394176931691,-0.01968805991041434
1.82E-6,-0.019787500000000003,1.0024379432624113,-0.019835740802304967
1.84E-6,-0.019695833333333336,1.0019946808510638,-0.01973512023492908
1.86E-6,-0.019604166666666666,1.0015514184397163,-0.019634580932328605
1.88E-6,-0.0195125,1.0011081560283688,-0.019534122894503545
1.9E-6,-0.01889629629629629,1.0006648936170213,-0.01890886032308904
1.9200000000000003E-6,-0.01775555555555554,1.0002216312056738,-0.017759490740740725
1.94E-6,-0.01661481481481481,1.0,-0.01661481481481481
1.96E-6,-0.015474074074074085,1.0,-0.015474074074074085
1.98E-6,-0.014333333333333333,1.0,-0.014333333333333333
